Rank,Team,Neutral,Home,HomeWeight,Away,AwayWeight,WinRating,PPG,APG,FGMPG,StatRating,COMPLETE_RATING
1,North Carolina Tar Heels,1,7,4.9,9,10.8,16.7,83.89,19.22,30.06,54.81,71.51
2,Duke Blue Devils,3,7,4.9,7,8.4,16.3,78.78,14.72,28.5,50.88,67.18
3,Virginia Cavaliers,1,8,5.6,8,9.6,16.2,70.44,14.28,25.78,45.81,62.01
4,Florida State Seminoles,2,8,5.6,5,6,13.6,71.83,13.39,24.5,45.94,59.54
5,North Carolina State Wolfpack,1,5,3.5,4,4.8,9.3,75,13.83,27.17,48.42,57.72
6,Virginia Tech Hokies,1,7,4.9,5,6,11.9,69.78,13.72,22.94,44.52,56.42
7,Louisville Cardinals,1,6,4.2,4,4.8,10,71.89,13.67,25.22,46.24,56.24
8,Syracuse Orange,1,5,3.5,5,6,10.5,68.06,11.78,23.89,43.55,54.05
9,Clemson Tigers,0,6,4.2,3,3.6,7.8,65.11,12.28,23.44,42.04,49.84
10,Miami (FL) Hurricanes,1,5,3.5,0,0,4.5,68.39,12.17,23.89,43.79,48.29
11,Boston College Eagles,0,4,2.8,1,1.2,4,66.56,12.22,24.17,42.97,46.97
12,Georgia Tech Yellow Jackets,0,4,2.8,2,2.4,5.2,60.72,12.44,22.06,39.47,44.67
13,Wake Forest Demon Deacons,0,3,2.1,1,1.2,3.3,64.17,10,21.89,40.65,43.95
14,Pittsburgh Panthers,1,3,2.1,0,0,3.1,64.5,10.56,21.28,40.74,43.84
15,Notre Dame Fighting Irish,1,2,1.4,1,1.2,3.6,62.72,11.83,21.61,40.21,43.81
