Seed,Chances,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th
1,114,0.114,0.110468,0.106537,0.102124,0.097122,0.469749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,113,0.113,0.109643,0.105893,0.101667,0.096856,0.27396,0.198981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,112,0.112,0.108815,0.105244,0.101203,0.096583,0.147744,0.254418,0.073992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,111,0.111,0.107984,0.104589,0.100732,0.096302,0.071306,0.229152,0.155605,0.02333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,99,0.099,0.097793,0.096328,0.094528,0.092286,0.029955,0.178902,0.225853,0.078715,0.006641,0.0,0.0,0.0,0.0,0.0,0.0
6,89,0.089,0.088999,0.088867,0.088548,0.087957,0.007286,0.1034,0.247828,0.163778,0.032707,0.001629,0.0,0.0,0.0,0.0,0.0
7,79,0.079,0.079941,0.080884,0.081803,0.08265,0.0,0.035148,0.200783,0.252457,0.095718,0.011286,0.00033,0.0,0.0,0.0,0.0
8,69,0.069,0.070627,0.07238,0.074269,0.076293,0.0,0.0,0.09594,0.286552,0.205871,0.04586,0.003156,5.2e-05,0.0,0.0,0.0
9,59,0.059,0.061064,0.06336,0.06593,0.068822,0.0,0.0,0.0,0.195169,0.330166,0.138036,0.017764,0.000683,6e-06,0.0,0.0
10,49,0.049,0.051262,0.05383,0.056774,0.060187,0.0,0.0,0.0,0.0,0.328897,0.318826,0.075763,0.005354,0.000107,0.0,0.0
11,39,0.039,0.041227,0.043795,0.046794,0.050347,0.0,0.0,0.0,0.0,0.0,0.484364,0.260174,0.033104,0.001185,1.1e-05,0.0
12,29,0.029,0.030967,0.033265,0.035988,0.03927,0.0,0.0,0.0,0.0,0.0,0.0,0.642813,0.177445,0.01107,0.000182,1e-06
13,19,0.019,0.020488,0.022246,0.024356,0.026936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.783362,0.100736,0.002859,1.7e-05
14,9,0.009,0.009797,0.010749,0.011904,0.013332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.886896,0.057687,0.000634
15,6,0.006,0.00655,0.007208,0.008009,0.009003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93926,0.023971
16,4,0.004,0.004375,0.004824,0.005371,0.006053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.975377
